gen,sp
Acalymma,vittatum
Acanthacris,ruficornis
Acanthiophilus,helianthi
Acanthocoris,scabrator
Acanthoscelides,obtectus
Achaea,catocaloides
Achaea,janata
Acherontia,styx
Acleris,gloverana
Acleris,variana
Acraea,acerata
Acrobasis,pyrivorella
Acrocercops,syngramma
Acrolepiopsis,assectella
Acromyrmex,landolti
Acronicta,rumicis
Acrosternum,hilare
Acyrthosiphon,kondoi
Acyrthosiphon,pisum
Adelges,abietis
Adelges,piceae
Adelphocoris,lineolatus
Adoretus,sinicus
Adoretus,versutus
Adoxophyes,orana
Aeolesthes,sarta
Agonoscena,targionii
Agrilus,bilineatus
Agrilus,mali
Agrilus,planipennis
Agriotes,lineatus
Agriotes,sputator
Agrius,cingulatus
Agrius,convolvuli
Agromyza,frontella
Agromyza,oryzae
Agrotis,exclamationis
Agrotis,ipsilon
Agrotis,segetum
Ahasverus,advena
Alcidodes,dentipes
Aleurocanthus,spiniferus
Aleurocanthus,woglumi
Aleurodicus,cocois
Aleurodicus,destructor
Aleurodicus,dispersus
Aleurodicus,pulvinatus
Aleurothrixus,floccosus
Aleurotrachelus,socialis
Alphitobius,diaperinus
Alphitobius,laevigatus
Amblypelta,cocophaga
Amblypelta,lutescens
Amblypelta,nitida
Ambrostoma,quadriimpressum
Ametastegia,
Ampelophaga,rubiginosa
Amrasca,biguttula
Amritodus,atkinsoni
Amsacta,moorei
Anacridium,rubrispinum
Anaphothrips,obscurus
Anarsia,lineatella
Anastrepha,fraterculus
Anastrepha,grandis
Anastrepha,ludens
Anastrepha,manihoti
Anastrepha,manizaliensis
Anastrepha,obliqua
Anastrepha,serpentina
Anastrepha,striata
Anastrepha,suspensa
Anomis,sabulifera
Anoplophora,chinensis
Anoplophora,glabripennis
Antestiopsis,orbitalis
Anthonomus,bisignifer
Anthonomus,eugenii
Anthonomus,grandis
Anthonomus,pomorum
Anthonomus,quadrigibbus
Anthonomus,signatus
Anthonomus,vestitus
Anticarsia,gemmatalis
Antigastra,catalaunalis
Aonidiella,aurantii
Aonidiella,citrina
Aonidiella,orientalis
Aonidomytilus,albus
Apate,monachus
Aphis,craccivora
Aphis,fabae
Aphis,glycines
Aphis,gossypii
Aphis,pomi
Aphis,spiraecola
Aporia,crataegi
Aproaerema,modicella
Araecerus,fasciculatus
Archips,fuscocupreanus
Archips,podanus
Archips,rosana
Argyrotaenia,citrana
Artona,catoxantha
Aspidiotus,destructor
Aspidiotus,nerii
Asproparthenis,punctiventris
Athalia,rosae
Atherigona,atripalpis
Atherigona,biseta
Atherigona,miliaceae
Atherigona,naqvii
Atherigona,orientalis
Atherigona,oryzae
Atherigona,pulla
Atherigona,punctata
Atherigona,soccata
Atta,
Atta,cephalotes
Atta,insularis
Atta,laevigata
Atta,mexicana
Atta,sexdens
Atta,texana
Attacus,atlas
Aulacaspis,tegalensis
Aulacaspis,tubercularis
Aulacophora,foveicollis
Aulacophora,indica
Aulacophora,lewisii
Aulacorthum,solani
Aulocara,elliotti
Autographa,gamma
Autographa,nigrisigna
Bactericera,cockerelli
Bactrocera,carambolae
Bactrocera,caryeae
Bactrocera,correcta
Bactrocera,cucumis
Bactrocera,cucurbitae
Bactrocera,dorsalis
Bactrocera,facialis
Bactrocera,frauenfeldi
Bactrocera,invadens
Bactrocera,jarvisi
Bactrocera,kandiensis
Bactrocera,kirki
Bactrocera,latifrons
Bactrocera,melanotus
Bactrocera,minax
Bactrocera,neohumeralis
Bactrocera,occipitalis
Bactrocera,oleae
Bactrocera,papayae
Bactrocera,passiflorae
Bactrocera,philippinensis
Bactrocera,psidii
Bactrocera,tau
Bactrocera,tryoni
Bactrocera,tsuneonis
Bactrocera,umbrosa
Bactrocera,xanthodes
Bactrocera,zonata
Basilepta,fulvicornis
Bathycoelia,thalassina
Batocera,rubus
Batocera,rufomaculata
Bedellia,somnulentella
Bemisia,tabaci
Bemisia,tabaci
